# Date:     2025-02-15 17:51:33
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-CEP-0001	1	67.740495	-69.060389	17.755	18.154	0.399	0.3068181	0.0000004	6000.12792	0.359	0.292	4.676	0.071	2.928
OGLE-LMC-CEP-0002	F	67.946040	-69.819306	15.691	16.420	0.729	3.1181490	0.0000109	6000.34799	0.261	0.295	4.645	0.093	3.004
OGLE-LMC-CEP-0003	1	68.773755	-70.424139	17.846	18.384	0.538	0.3500957	0.0000005	6000.23531	0.322	0.178	4.887	0.088	2.828
OGLE-LMC-CEP-0004	1	68.833995	-69.802139	15.123	15.690	0.567	2.2296385	0.0000065	6000.63293	0.245	0.146	4.676	0.000	-99.99
OGLE-LMC-CEP-0005	F	68.881335	-69.734944	14.651	15.425	0.774	5.6119491	0.0000135	6004.75854	0.508	0.437	4.946	0.164	3.385
OGLE-LMC-CEP-0006	1	68.925660	-69.724750	14.707	15.366	0.659	3.2947501	0.0000213	6000.96197	0.211	0.105	3.443	0.063	0.285
OGLE-LMC-CEP-0007	1	69.125250	-68.626583	16.955	17.561	0.606	0.7090827	0.0000019	6000.23537	0.191	0.174	3.336	0.137	1.076
OGLE-LMC-CEP-0008	12	69.137835	-69.312111	16.337	16.921	0.584	0.9728732	0.0000040	6000.02976	0.237	0.247	4.033	0.048	2.117
OGLE-LMC-CEP-0009	1	69.217215	-68.064250	15.433	16.130	0.697	2.0243667	0.0000276	6001.86064	0.195	0.175	4.864	0.035	2.907
OGLE-LMC-CEP-0010	1	69.235290	-68.240833	14.990	15.572	0.582	2.5655853	0.0000092	6002.26741	0.262	0.068	4.410	0.025	5.761
OGLE-LMC-CEP-0011	12	69.417585	-69.960806	16.300	16.923	0.623	1.0199256	0.0000075	6000.27574	0.230	0.154	4.397	0.050	1.926
