# Date:     2025-02-15 20:36:50
# Database: ocvs
# Target:   lmc_rrlyr
# Query:    (type='RRab') 
# Objects:  29151
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1
OGLE-LMC-RRLYR-00001	RRab	66.939375	-70.720000	18.772	19.455	0.683	0.63475210	0.00000100	6000.13200	0.533	0.545	4.395	0.351	2.747
OGLE-LMC-RRLYR-00002	RRab	66.993540	-70.183167	18.844	19.472	0.628	0.62551790	0.00000260	6000.20402	0.311	0.447	4.738	0.206	3.168
OGLE-LMC-RRLYR-00003	RRab	67.035420	-70.356333	18.649	19.306	0.657	0.65649710	0.00000140	6000.11424	0.412	0.446	4.523	0.322	2.953
OGLE-LMC-RRLYR-00004	RRab	67.080465	-70.370000	18.808	19.340	0.532	0.51238430	0.00000160	6000.02014	0.598	0.420	4.098	0.194	2.098
OGLE-LMC-RRLYR-00005	RRab	67.087755	-70.148472	18.942	19.613	0.671	0.64335190	0.00000340	6000.18740	0.246	0.340	4.663	0.148	3.103
OGLE-LMC-RRLYR-00006	RRab	67.117410	-70.695667	18.766	19.458	0.692	0.60001920	0.00000140	6000.19342	0.469	0.481	4.334	0.346	2.740
OGLE-LMC-RRLYR-00007	RRab	67.161795	-70.472194	18.866	19.482	0.616	0.55285610	0.00000120	6000.51544	0.643	0.397	4.063	0.334	1.883
OGLE-LMC-RRLYR-00008	RRab	67.240755	-70.287944	18.674	19.394	0.720	0.78771520	0.00000310	6000.77369	0.331	0.381	4.884	0.249	3.589
OGLE-LMC-RRLYR-00010	RRab	67.331130	-70.690028	18.813	19.472	0.659	0.59407430	0.00000160	6000.22061	0.408	0.434	4.417	0.326	2.837
OGLE-LMC-RRLYR-00011	RRab	67.341705	-70.663806	18.878	19.499	0.621	0.55357540	0.00000140	6000.01902	0.508	0.417	4.260	0.295	2.477
OGLE-LMC-RRLYR-00012	RRab	67.354125	-69.844028	18.695	19.328	0.633	0.60956210	0.00000300	6000.48251	0.362	0.339	4.124	0.174	2.363
OGLE-LMC-RRLYR-00014	RRab	67.415040	-70.129806	18.954	19.660	0.706	0.63949310	0.00000370	6000.00659	0.243	0.320	4.885	0.164	3.277
OGLE-LMC-RRLYR-00016	RRab	67.443045	-70.145528	19.028	19.696	0.668	0.59839110	0.00000130	6000.01842	0.489	0.466	4.318	0.357	2.759
OGLE-LMC-RRLYR-00017	RRab	67.455705	-70.184056	18.863	19.448	0.585	0.57596490	0.00000190	6000.51362	0.478	0.422	4.183	0.223	2.407
OGLE-LMC-RRLYR-00018	RRab	67.472415	-70.673611	18.599	19.192	0.593	0.64169590	0.00000080	6000.63803	0.726	0.535	4.289	0.372	2.575
OGLE-LMC-RRLYR-00019	RRab	67.493040	-70.185250	19.237	19.754	0.517	0.42523210	0.00000090	6000.21967	0.631	0.406	4.003	0.217	2.028
OGLE-LMC-RRLYR-00022	RRab	67.576920	-69.520722	18.801	19.363	0.562	0.51523440	0.00000070	6000.41185	0.791	0.441	4.185	0.388	2.012
OGLE-LMC-RRLYR-00023	RRab	67.610415	-70.172333	18.956	19.494	0.538	0.54603300	0.00000070	6000.47939	0.778	0.444	4.138	0.371	2.156
OGLE-LMC-RRLYR-00024	RRab	67.612830	-70.063056	18.799	19.464	0.665	0.57338620	0.00000300	6000.53375	0.420	0.350	4.405	0.153	2.585
OGLE-LMC-RRLYR-00025	RRab	67.617210	-69.865639	18.783	19.409	0.626	0.60011440	0.00000230	6000.24986	0.476	0.462	4.294	0.326	2.741
OGLE-LMC-RRLYR-00026	RRab	67.618965	-70.099556	18.817	19.424	0.607	0.63347830	0.00000130	6000.40413	0.568	0.515	4.552	0.351	2.902
OGLE-LMC-RRLYR-00027	RRab	67.674165	-70.118833	18.502	19.184	0.682	0.79388210	0.00000300	6000.51991	0.377	0.433	4.736	0.264	3.648
OGLE-LMC-RRLYR-00028	RRab	67.679340	-69.385472	18.969	19.611	0.642	0.58336420	0.00000110	6000.09751	0.550	0.436	4.416	0.340	2.766
OGLE-LMC-RRLYR-00030	RRab	67.697460	-70.512861	18.656	19.253	0.597	0.67329600	0.00000300	6000.63657	0.519	0.438	4.279	0.288	2.256
OGLE-LMC-RRLYR-00031	RRab	67.705380	-70.472139	18.871	19.511	0.640	0.63797590	0.00000710	6000.00084	0.124	0.000	-99.99	0.000	-99.99
OGLE-LMC-RRLYR-00033	RRab	67.737585	-70.540806	18.994	19.550	0.556	0.47265730	0.00000050	6000.33106	0.848	0.476	4.112	0.355	2.040
OGLE-LMC-RRLYR-00034	RRab	67.760505	-69.730250	18.858	19.616	0.758	0.50000820	0.00000130	6000.45291	0.650	0.429	4.179	0.278	2.088
OGLE-LMC-RRLYR-00036	RRab	67.794285	-70.123222	18.917	19.563	0.646	0.60932990	0.00000200	6000.28562	0.369	0.406	4.449	0.268	3.071
OGLE-LMC-RRLYR-00037	RRab	67.816710	-69.827167	18.747	19.439	0.692	0.67058680	0.00000400	6000.09621	0.268	0.357	4.367	0.173	2.984
OGLE-LMC-RRLYR-00039	RRab	67.847670	-69.730306	18.870	19.499	0.629	0.62129860	0.00000150	6000.58574	0.435	0.475	4.429	0.301	2.805
OGLE-LMC-RRLYR-00040	RRab	67.860375	-70.220722	19.037	-99.99	-99.99	0.62028990	0.00000150	6000.13211	0.359	0.442	4.802	0.000	-99.99
